site,lat,lat,long,long,lab,age,std,Exclude,country_state,region,original_affiliation,culture,context,source
Waiwaru Market,7.829276,7.829276,-59.238171,-59.238171,Beta 26749,2150,100,No,Guyana,1-W Guyana,Koriabo,1 - Koriabo,Settlement,Williams 1993
Quartz Island,5.913763,5.913763,-59.358994,-59.358994,Beta 41946,2030,70,No,Guyana,1-W Guyana,Koriabo,1 - Koriabo,Settlement,Williams 2003
Lanciana Island,5.878021,5.878021,-59.290142,-59.290142,Beta 57594,1780,100,No,Guyana,1-W Guyana,Koriabo,1 - Koriabo,Settlement,Williams 2003
Lanciana Island,5.878021,5.878021,-59.290142,-59.290142,Beta 57593,1470,90,No,Guyana,1-W Guyana,Koriabo,1 - Koriabo,Settlement,Williams 2003
Woi Creek,5.236946,5.236946,-59.129558,-59.129558,Beta 40998,1090,50,No,Guyana,1-W Guyana,Koriabo,1 - Koriabo,Settlement,Williams 2003
Commetewane,5.776279,5.776279,-54.927379,-54.927379,GrN-1899,1310,45,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Hanover,5.495537,5.495537,-55.178243,-55.178243,GrN-4414,1130,40,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Moengo-Boesmanhill,5.633025,5.633025,-54.464435,-54.464435,GrN-4239,970,70,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Coreoni-Eiland,3.371589,3.371589,-57.346295,-57.346295,GrN-2174,785,50,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Ceramic Trade,Versteeg 2003
Blauwgrond 2,5.8415,5.8415,-55.131644,-55.131644,GrN-2173,520,50,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Moricokreek,5.75878,5.75878,-54.781937,-54.781937,GrN-2321,455,65,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Christiaankondre,5.710301,5.710301,-54.024489,-54.024489,GrN-4241,440,50,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Bigiston,5.423224,5.423224,-54.140572,-54.140572,GrN-4240,410,60,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Petit Saut 230,4.933412,4.933412,-53.033411,-53.033411,OBDY-1227,850,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 230,4.933412,4.933412,-53.033411,-53.033411,OBDY-1326,840,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 230,4.933412,4.933412,-53.033411,-53.033411,OBDY-1412,790,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 230,4.933412,4.933412,-53.033411,-53.033411,OBDY-1324,800,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 230,4.933412,4.933412,-53.033411,-53.033411,OBDY-1350,730,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 230,4.933412,4.933412,-53.033411,-53.033411,OBDY-1229,510,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1313,970,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1257,940,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1264,930,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1311,900,50,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1335,880,50,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1262,880,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1399,750,50,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1369,670,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1411,620,50,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1328,540,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1414,490,50,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,4.983406,4.983406,-53.016724,-53.016724,OBDY-1339,430,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 172,4.683466,4.683466,-52.950117,-52.950117,Arc-969,965,60,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 172,4.683466,4.683466,-52.950117,-52.950117,OBDY-1354,930,50,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 172,4.683466,4.683466,-52.950117,-52.950117,OBDY-1280,850,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 172,4.683466,4.683466,-52.950117,-52.950117,OBDY-40,750,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
