ID,Language,lat,long,latitude,longitude
1,Ye'kwana,4.71,-64.39,4.71,-64.39
2,Tamanaku,2.77,-65.88,2.77,-65.88
3,Yabarana,5.33,-66.28,5.33,-66.28
4,Mapoyo,5.97,-67.26,5.97,-67.26
5,Panare,6.95,-65.85,6.95,-65.85
6,Waimiri-Atroari,-0.62,-60.43,-0.62,-60.43
7,Wayumara,3.13,-61.21,3.13,-61.21
8,Akawaio-Ingariko,6.16,-60.86,6.16,-60.86
9,Pemon,5.25,-66.08,5.25,-66.08
10,Macushi,4.32,-60.22,4.32,-60.22
11,Carijona,1.22,-72.07,1.22,-72.07
12,Akurio,3.2,-55.63,3.2,-55.63
13,Trió,2.54,-55.76,2.54,-55.76
14,Wayana,2.78,-54.44,2.78,-54.44
15,Apalaí,1.5,-54.75,1.5,-54.75
16,Galibi Carib,6.995466,-59.642761,6.995466,-59.642761
16,Galibi Carib,5.651666,-55.025417,5.651666,-55.025417
16,Galibi Carib,5.008021,-52.868435,5.008021,-52.868435
17,Waiwai,1.51,-59.14,1.51,-59.14
18,Hixkaryána,-0.16,-58.8,-0.16,-58.8
19,Kaxuiâna,2.17,-55.91,2.17,-55.91
20,Palmela,-12.63,-63.12,-12.63,-63.12
21,Kuikúro-Kalapálo,-12.3,-53.23,-12.3,-53.23
22,Bakairí,-14.26,-54.7,-14.26,-54.7
23,Ikpeng,-11.38,-53.5,-11.38,-53.5
24,Pará Arára,-3.71,-53.07,-3.71,-53.07
25,Japrería,10.55,-72.71,10.55,-72.71
26,Yukpa,9.68,-73.06,9.68,-73.06
