site,lab,age,std,Exclude,country_state,region,original_affiliation,culture,context,source
Waiwaru Market,Beta 26749,2150,100,No,Guyana,1-W Guyana,Koriabo,1 - Koriabo,Settlement,Williams 1993
Quartz Island,Beta 41946,2030,70,No,Guyana,1-W Guyana,Koriabo,1 - Koriabo,Settlement,Williams 2003
Lanciana Island,Beta 57594,1780,100,No,Guyana,1-W Guyana,Koriabo,1 - Koriabo,Settlement,Williams 2003
Lanciana Island,Beta 57593,1470,90,No,Guyana,1-W Guyana,Koriabo,1 - Koriabo,Settlement,Williams 2003
Woi Creek,Beta 40998,1090,50,No,Guyana,1-W Guyana,Koriabo,1 - Koriabo,Settlement,Williams 2003
Commetewane,GrN-1899,1310,45,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Hanover,GrN-4414,1130,40,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Moengo-Boesmanhill,GrN-4239,970,70,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Coreoni-Eiland,GrN-2174,785,50,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Ceramic Trade,Versteeg 2003
Blauwgrond 2,GrN-2173,520,50,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Moricokreek,GrN-2321,455,65,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Christiaankondre,GrN-4241,440,50,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Bigiston,GrN-4240,410,60,No,Suriname,2-Suriname,Koriabo,1 - Koriabo,Settlement,Versteeg 2003
Petit Saut 230,OBDY-1227,850,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 230,OBDY-1326,840,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 230,OBDY-1412,790,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 230,OBDY-1324,800,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 230,OBDY-1350,730,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 230,OBDY-1229,510,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 223,OBDY-1313,970,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,OBDY-1257,940,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,OBDY-1264,930,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,OBDY-1311,900,50,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,OBDY-1335,880,50,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,OBDY-1262,880,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,OBDY-1399,750,50,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,OBDY-1369,670,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,OBDY-1411,620,50,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
Petit Saut 223,OBDY-1328,540,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Ceramic Trade,Vacher et al 1998
